Ano,"Código da IES","Nome da IES","Sigla da IES","Organização Acadêmica","Categoria Administrativa","Código do Curso","Código da Área","Área de Enquadramento","Modalidade de Ensino","Código do Município","Município do Curso","Sigla da UF","Concluintes Inscritos","Concluintes Participantes","Nota Bruta - FG","Nota Bruta - CE","Nota Contínua do Enade","Concluintes Participantes com nota no Enem","Percentual de Concluintes participantes com nota no Enem","Nota Bruta - IDD","Nota Padronizada - IDD","Nota Bruta - Organização Didático-Pedagógica","Nota Padronizada - Organização Didático-Pedagógica","Nota Bruta - Infraestrutura e Instalações Físicas","Nota Padronizada - Infraestrutura e Instalações Físicas","Nota Bruta - Oportunidades de Ampliação da Formação","Nota Padronizada - Oportunidades de Ampliação da Formação","Nr. de Docentes","Nota Bruta - Mestres","Nota Padronizada - Mestres","Nota Bruta - Doutores","Nota Padronizada - Doutores","Nota Bruta - Regime de Trabalho","Nota Padronizada - Regime de Trabalho","CPC Contínuo","CPC Faixa",Obs
2015,780,"UNIVERSIDADE DE CUIABÁ","UNIC / PITÁGORAS",Universidade,Privada,16830,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5103403,CUIABA,MT,114,107,"46,982242990654186","33,53644859813086","1,6097018718719482",80,"0,7476635575294495","-0,1615622490644455","2,424200747175156","5,555044651031494","4,035635554303457","5,427737712860107","4,05092011925568","5,147892951965332","3,872773662412303",35,"0,6285714285714286","3,026785714285714","0,2857142857142857","1,7226890756302522","0,5142857142857142","2,4780219780219777","2,44371258824916",3,
2015,781,"FACULDADE ANHANGUERA DE RONDONÓPOLIS",FAR,Faculdade,Privada,49045,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5107602,RONDONOPOLIS,MT,75,51,"48,533333333333324","29,372549019607835","1,2193491458892822",43,"0,843137264251709","-0,4274781346321106","2,3067022899499174","5,411812782287598","3,7252050312689673","5,401829719543457","4,007952487524812","5,104941368103027","3,8159543265291345",20,"0,95","4,734374999999999","0,25","1,5073529411764708","0,95","4,740384615384615","2,5631124028752854",3,
2015,788,"FACULDADE DE RONDÔNIA",FARO,Faculdade,Privada,16884,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",1100205,"PORTO VELHO",RO,9,9,"59,155555555555566","41,54444444444445","3,0179038047790527",5,"0,5555555820465088","-0,5416509509086609","2,2562535183734576","5,8454108238220215","4,6649544599448936","5,916666507720947","4,861793896450008","5,759259223937988","4,681531394518684",30,"0,7666666666666667","3,760416666666666","0,2","1,2058823529411766","0,8666666666666667","4,3076923076923075","2,8892595825859546",3,
2015,789,"UNIVERSIDADE FEDERAL DE RORAIMA",UFRR,Universidade,Federal,16892,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",1400100,"BOA VISTA",RR,41,37,"59,95675675675675","41,210810810810806","3,0159912109375",23,"0,6216216087341309","0,6883897185325623","2,7997632852875762","4,7097039222717285","2,203504431023437","4,3712897300720215","2,2988327494444487","4,114661693572998","2,5059436497220036",31,"0,5161290322580645","2,429435483870967","0,06451612903225806","0,38899430740037944",1,5,"2,5415252604805616",3,
2015,792,"CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ",CESUPA,"Centro Universitário",Privada,39425,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",1501402,BELEM,PA,12,12,"53,81666666666667","51,39166666666667","3,8685758113861084",12,1,"3,031270980834961","3,8349964124653124","5,542490005493164","4,008425512186749","5,375","3,963456200425461","5,329166412353516","4,112574775812913",21,"0,8571428571428571","4,241071428571427","0,19047619047619047","1,1484593837535015","0,9523809523809523","4,752747252747252","3,5643883081326093",4,
2015,793,"Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL","ESTÁCIO UNIRADIAL","Centro Universitário",Privada,16941,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",3550308,"SAO PAULO",SP,7,5,"55,260000000000005","38,36","2,4989259243011475",2,"0,4000000059604645","-1,2704124450683594","1,9342405966327023","4,814805030822754","2,431293067624535","4,077272891998291","1,8112146206831103","4,0428571701049805","2,410955642994719",16,"0,8125","4,00390625","0,625","3,768382352941177","0,6875","3,377403846153846","2,6288066060152535",3,
2015,793,"Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL","ESTÁCIO UNIRADIAL","Centro Universitário",Privada,102609,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",3550308,"SAO PAULO",SP,21,16,"52,306250000000006","41,66875","2,734445810317993",10,"0,625","1,677107572555542","3,236641368861817","4,928656101226807","2,67804574664432","4,567992210388184","2,625057927576689","4,436011791229248","2,931047859926548",13,"0,8461538461538461","4,182692307692307","0,5384615384615384","3,246606334841629","0,6153846153846154","3,002958579881657","3,1110109318348487",4,
2015,794,"CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE",UNIVAG,"Centro Universitário",Privada,16945,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5108402,"VARZEA GRANDE",MT,69,53,"49,779245283018874","34,932075471698106","1,8844228982925415",40,"0,7547169923782349","-0,17939424514770508","2,416321443445119","5,792853355407715","4,551045156433714","5,703240871429443","4,507833864500873","5,545855522155762","4,399226168030463",30,"0,6","2,875","0,43333333333333335","2,6127450980392157","0,6","2,9230769230769234","2,7260653529592855",3,
2015,795,"FACULDADES INTEGRADAS DE DIAMANTINO",FID,Faculdade,Privada,19592,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5103502,DIAMANTINO,MT,41,41,"52,18048780487804","32,55365853658536","1,7271850109100342",30,"0,7317073345184326","-0,03842448070645332","2,4786108016077306","5,625157833099365","4,187593857799859","5,514874458312988","4,195433804398542","5,434378623962402","4,251756790836643",12,"0,25","1,0156249999999998",0,0,"0,75","3,701923076923077","2,196902037839776",3,
2015,796,"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO",EDUVALE,Faculdade,Privada,16964,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5104807,JACIARA,MT,15,12,"51,98333333333335","42,53333333333334","2,815460681915283",6,"0,5","2,1365244388580322","3,439640798168421","5,917529106140137","4,821258474524161","5,854797840118408","4,759186562383848",6,5,7,1,5,"0,5714285714285714","3,4453781512605044",1,5,"3,758326852139584",4,
