Ano Enade,"Código da área","Área de enquadramento","Código da IES","Nome da IES","Sigla da IES","Categoria administrativa","Organização acadêmica","Número de cursos da unidade","Código do município do curso","Município do curso","UF do curso","Número concluintes inscritos no Enade","Número concluintes participantes no Enade","Nota bruta de formação geral","Nota bruta de componente específico","Nota bruta geral","Nota padronizada de formação geral","Nota padronizada de componente específico","Nota de concluintes","Número de ingressantes inscritos no Enade","Número de ingressantes participantes no Enem","Nota dos ingressantes no Enem","Escolaridade dos pais (superior) dos ingressantes no Enem","Nota bruta do IDD","Nota padronizada do IDD","% de infraestrutura","Nota padronizada de infraestrutura","% organização didático pedagógica","Nota padronizada de organização didático pedagógica","% doutores","Nota padronizada de doutores","% de mestres","Nota padronizada de mestres","% de regime de trabalho (integral / parcial)","Nota padronizada de regime de trabalho (integral / parcial)","CPC (contínuo)","CPC (faixa)"
2012,18,PSICOLOGIA,5,"UNIVERSIDADE FEDERAL DO PIAUÍ",UFPI,Pública,Universidade,1,2207702,PARNAIBA,PI,82,80,"51,65625","44,02000045776367","45,943748474121094","4,023642063140869","3,2806038856506348","3,4663634300231934",113,113,"56,0178108215332",70,"4,377216339111328","3,8023533821105957","59,49367141723633","0,8143460154533386","89,74359130859375","3,81656813621521","33,33333206176758","1,716049313545227","87,5","4,166666507720947",100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,18,PSICOLOGIA,7,"UNIVERSIDADE FEDERAL DE SÃO CARLOS",UFSCAR,Pública,Universidade,2,3548906,"SAO CARLOS",SP,40,38,"39,18421173095703","42,726314544677734","41,85789489746094","2,093219518661499","3,0950942039489746","2,844625473022461",44,42,"67,18285369873047","85,36585235595703","-6,723694801330566","1,9174009561538696","81,94444274902344","3,134258985519409","65,78947448730469","1,0526314973831177","85,48387145996094","4,40083646774292","95,16129302978516","4,677419662475586",100,5,"2,9399640560150146",3
2012,18,PSICOLOGIA,9,"UNIVERSIDADE ESTADUAL DE LONDRINA",UEL,Pública,Universidade,2,4113700,LONDRINA,PR,150,149,"48,57382583618164","50,13154220581055","49,754364013671875","3,546544313430786","4,156976222991943","4,004368305206299",79,70,"61,78003692626953","81,42857360839844","5,506075859069824","3,9940357208251953",83,"3,243333339691162","72,48322296142578","1,8249871730804443","66,05504608154297","3,400611639022827","92,66055297851563","4,5107035636901855",100,5,"3,802304744720459",4
2012,18,PSICOLOGIA,10,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",PUCPR,Privada,Universidade,1,4106902,CURITIBA,PR,151,145,"43,73103332519531","42,843448638916016","43,08000183105469","2,7969765663146973","3,1118907928466797","3,0331621170043945",251,180,"55,98649978637695","78,85713958740234","0,8969395160675049","3,2113969326019287","94,52054595947266","4,4337897300720215","79,10958862304688","2,5895678997039795",24,"1,2355555295944214",86,"4,066666603088379",42,"2,0999999046325684","2,9052064418792725",3
2012,18,PSICOLOGIA,10,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",PUCPR,Privada,Universidade,1,4113700,LONDRINA,PR,0,0,.,.,.,.,.,.,18,14,"55,49785614013672","78,57142639160156",.,.,.,0,.,0,50,"2,5740740299224854",100,5,"37,5","1,875",.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,18,PSICOLOGIA,10,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",PUCPR,Privada,Universidade,1,4127700,TOLEDO,PR,32,32,"43,9375","43,68437576293945","43,759376525878906","2,8289334774017334","3,2324767112731934","3,1315908432006836",44,36,"51,97249984741211","85,71428680419922","5,106589317321777","3,9262022972106934","98,4375","4,838541507720947","93,75","4,278846263885498","5,882352828979492","0,3028322458267212","64,70587921142578","2,6470584869384766","23,52941131591797","1,1764705181121826","3,0164825916290283",4
2012,18,PSICOLOGIA,11,"UNIVERSIDADE CATÓLICA DE PERNAMBUCO",UNICAP,Privada,Universidade,1,2611606,RECIFE,PE,62,52,"40,894229888916016","38,599998474121094","39,1788444519043","2,357896089553833","2,5033960342407227","2,4670209884643555",40,22,"54,75977325439453","81,81818389892578","-0,0495876669883728","3,0506751537323","94,54545593261719","4,436363697052002","92,7272720336914","4,160839080810547","62,5","3,217592716217041",100,5,"65,625","3,28125","3,3096632957458496",4
2012,18,PSICOLOGIA,12,"UNIVERSIDADE FEDERAL DO RIO GRANDE",FURG,Pública,Universidade,1,4315602,"RIO GRANDE",RS,27,25,"48,119998931884766","46,5","46,91999816894531","3,4763009548187256","3,6362266540527344","3,596245288848877",37,36,"60,54117965698242","83,33333587646484","2,151383876800537","3,424403667449951",84,"3,3466665744781494",68,"1,307692289352417","71,73912811279297","3,6932365894317627","89,13043212890625","4,275362014770508",100,5,"3,516505002975464",4
2012,18,PSICOLOGIA,13,"UNIVERSIDADE DE CAXIAS DO SUL",UCS,Privada,Universidade,1,4305108,"CAXIAS DO SUL",RS,104,91,"46,71428680419922","38,870330810546875","40,845054626464844","3,2587246894836426","2,542160749435425","2,721301794052124",118,57,"52,7923698425293","63,157894134521484","2,3900132179260254","3,464923143386841","91,20879364013672","4,0915751457214355","86,55914306640625","3,449131965637207","51,28205108642578","2,640075922012329",100,5,"64,1025619506836","3,2051281929016113","3,333932399749756",4
2012,18,PSICOLOGIA,14,"UNIVERSIDADE DO VALE DO RIO DOS SINOS",UNISINOS,Privada,Universidade,1,4318705,"SAO LEOPOLDO",RS,111,109,"44,422019958496094","39,81743240356445","40,98073196411133","2,9039275646209717","2,677971601486206","2,7344605922698975",313,171,"52,571929931640625","54,819278717041016","-0,06696486473083496","3,047724485397339","94,1441421508789","4,394894599914551","85,58558654785156","3,3367984294891357","69,64286041259766","3,585317611694336","96,42857360839844","4,761904716491699","96,42857360839844","4,8214287757873535","3,4500203132629395",4
