,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,3279,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS",IFSEMG,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",MG,17,"0,982758641242981","2,887936633999542","0,017241379246115685",4,0,0,"2,9071101994096806",3,
2016,3336,"UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL",UERGS,Universidade,"Pessoa Jurídica de Direito Público - Estadual",RS,15,"0,98758864402771","3,2396086929618653","0,012411347590386868",4,0,0,"3,2490461466241376",4,
2016,3849,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS",UFT,Universidade,"Pessoa Jurídica de Direito Público - Federal",TO,53,"0,9000170230865479","2,6673378827477787","0,077132947742939","4,188133874239351","0,022849997505545616","4,5","2,826517600833723",3,
2016,3974,"UNIVERSIDADE DE RIO VERDE",FESURV,Universidade,"Pessoa Jurídica de Direito Público - Municipal",GO,24,"0,9944751262664795","2,456773068254204","0,005524862091988325",4,0,0,"2,465299155628139",3,
2016,3984,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO",UNIVASF,Universidade,"Pessoa Jurídica de Direito Público - Federal",PE,18,"0,8898467421531677","3,0893455440949795","0,11015325784683228","4,080808080808081",0,0,"3,198558372547012",4,
2016,4098,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",IFFarroupilha,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",RS,16,1,"3,0901431148831446",0,0,0,0,"3,0901431148831446",4,
2016,4358,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS","IF SUL DE MINAS","Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",MG,13,"0,9890410900115967","2,926850535745463","0,010958904400467873",4,0,0,"2,93861106177659",3,
2016,4503,"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA",UFRB,Universidade,"Pessoa Jurídica de Direito Público - Federal",BA,24,"0,8505708575248718","2,77025233357635","0,10258562862873077","4,152777777777779","0,0468435175716877","4,86764705882353","3,010328932351844",4,
2016,4504,"FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS",UFGD,Universidade,"Pessoa Jurídica de Direito Público - Federal",MS,29,"0,7119194865226746","2,83865290155724","0,19040247797966003","4,316733067729083","0,09767802059650421","4,614840989399293","3,293577522177223",4,
2016,4785,"INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA",IFRO,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",RO,6,1,"2,828938474241568",0,0,0,0,"2,828938474241568",3,
2016,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",IFTO,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",TO,11,1,"2,4615509807134477",0,0,0,0,"2,4615509807134477",3,
2016,4925,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC",UFABC,Universidade,"Pessoa Jurídica de Direito Público - Federal",SP,18,"0,5080946683883667","3,8762798102059985","0,32689914107322693","4,274336283185841","0,16500622034072876","4,483910891089109","4,106667152861961",5,
