Ano,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,370,"FACULDADE PAULISTA DE ARTES",FPA,Faculdade,"Privada sem fins lucrativos",SP,3,1,"2,5289125345418237",0,0,0,0,"2,5289125345418237",3,
2016,371,"FACULDADE DE MÚSICA CARLOS GOMES",FMCG,Faculdade,"Privada com fins lucrativos",SP,1,1,"0,9328773243440502",0,0,0,0,"0,9328773243440502",1,
2016,373,"ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO",ESP,Faculdade,"Privada sem fins lucrativos",SP,1,1,"3,1328475586069775",0,0,0,0,"3,1328475586069775",4,
2016,396,"FACULDADE RUY BARBOSA",FRBA,Faculdade,"Privada com fins lucrativos",BA,21,1,"2,8705154954360026",0,0,0,0,"2,8705154954360026",3,
2016,399,"ESCOLA DE ENGENHARIA DE AGRIMENSURA",EEA,Faculdade,"Privada sem fins lucrativos",BA,1,1,"0,8393172913483844",0,0,0,0,"0,8393172913483844",1,
2016,404,"FACULDADES INTEGRADAS DA UPIS",UPIS,Faculdade,"Privada sem fins lucrativos",DF,12,1,"2,0308389254445394",0,0,0,0,"2,0308389254445394",3,
2016,405,"FOCCA - FACULDADE DE OLINDA",FOCCA,Faculdade,"Privada sem fins lucrativos",PE,3,1,"2,993336075570241",0,0,0,0,"2,993336075570241",4,
2016,410,"FACULDADE DE CIÊNCIAS HUMANAS ESUDA",FCHE,Faculdade,"Privada sem fins lucrativos",PE,5,1,"2,7126050957283727",0,0,0,0,"2,7126050957283727",3,
2016,415,"FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO",FCMSCSP,Faculdade,"Privada sem fins lucrativos",SP,3,"0,6590909361839294","3,5718218398465247","0,22526738047599792","4,355329949238579","0,11564171314239502","4,300925925925926","3,8326356112529023",4,
2016,416,"FACULDADE DE SÃO PAULO",FASP,Faculdade,"Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação",SP,23,1,"2,0104194903353707",0,0,0,0,"2,0104194903353707",3,
2016,431,"FACULDADE DE MEDICINA DE MARÍLIA",FAMEMA,Faculdade,"Pessoa Jurídica de Direito Público - Estadual",SP,2,"0,8659217953681946","2,7436292442302026","0,1340782195329666",4,0,0,"2,9120812391203663",3,
2016,432,"FACULDADE PARANAENSE",FACCAR,Faculdade,"Privada sem fins lucrativos",PR,4,1,"2,4181888698745766",0,0,0,0,"2,4181888698745766",3,
2016,434,"FACULDADE SANTA MARCELINA",FASM,Faculdade,"Privada sem fins lucrativos",SP,9,1,"2,3070713309840944",0,0,0,0,"2,3070713309840944",3,
2016,435,"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SANTA MARCELINA",FAFISM,Faculdade,"Privada sem fins lucrativos",MG,8,1,"2,2917603533156266",0,0,0,0,"2,2917603533156266",3,
2016,438,"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA",FFCL,Faculdade,"Privada sem fins lucrativos",SP,5,1,"2,8549949617996084",0,0,0,0,"2,8549949617996084",3,
2016,439,"FACULDADE DOUTOR FRANCISCO MAEDA",FAFRAM,Faculdade,"Privada sem fins lucrativos",SP,4,1,"2,660447008933546",0,0,0,0,"2,660447008933546",3,
2016,440,"FACULDADE DE DIREITO DE ITÚ",FADITU,Faculdade,"Privada com fins lucrativos",SP,1,1,"2,147976316692954",0,0,0,0,"2,147976316692954",3,
2016,454,"FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS",FACCCA,Faculdade,"Privada sem fins lucrativos",RS,4,1,"2,442435258081086",0,0,0,0,"2,442435258081086",3,
2016,460,"FACULDADE DE ARTES PLÁSTICAS DA FUNDAÇÃO ARMANDO ALVARES PENTEADO",FAAP,Faculdade,"Privada sem fins lucrativos",SP,1,1,"2,9419890482684563",0,0,0,0,"2,9419890482684563",3,
2016,461,"FACULDADE DE ADMINISTRAÇÃO DA FUNDAÇÃO ARMANDO ALVARES PENTEADO",FAE-FAAP,Faculdade,"Privada sem fins lucrativos",SP,1,1,"2,4448883559893866",0,0,0,0,"2,4448883559893866",3,
2016,462,"FACULDADE DE ENGENHARIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO",FEFAAP,Faculdade,"Privada sem fins lucrativos",SP,4,1,"2,5835431237740694",0,0,0,0,"2,5835431237740694",3,
2016,463,"FACULDADE DE COMUNICAÇÃO E MARKETING DA - FUNDAÇÃO ARMANDO ÁLVARES PENTEADO",FACOM-FAAP,Faculdade,"Privada sem fins lucrativos",SP,1,1,"2,354728710850916",0,0,0,0,"2,354728710850916",3,
2016,464,"FACULDADE DE ECONOMIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO",FEC-FAAP,Faculdade,"Privada sem fins lucrativos",SP,2,1,"2,2254479487055514",0,0,0,0,"2,2254479487055514",3,
2016,467,"FACULDADE DE CIÊNCIAS CONTÁBEIS DE ITAPETININGA",FCCI,Faculdade,"Privada com fins lucrativos",SP,2,1,"1,0948965356382354",0,0,0,0,"1,0948965356382354",2,
2016,468,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE ITAPETININGA",FFCLI,Faculdade,"Privada com fins lucrativos",SP,3,1,"1,064223857595393",0,0,0,0,"1,064223857595393",2,
2016,473,"FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO",FCEACDB,Faculdade,"Privada sem fins lucrativos",RJ,6,1,"2,3430772308346883",0,0,0,0,"2,3430772308346883",3,
2016,474,"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO",FFCLDB,Faculdade,"Privada sem fins lucrativos",RJ,5,1,"2,665768476422521",0,0,0,0,"2,665768476422521",3,
2016,475,"FACULDADE DE MEDICINA DE PETRÓPOLIS",FMP,Faculdade,"Privada sem fins lucrativos",RJ,1,1,"2,4955449280396693",0,0,0,0,"2,4955449280396693",3,
2016,490,"CENTRO DE ENSINO SUPERIOR DE VALENÇA",CESVA,Faculdade,"Privada sem fins lucrativos",RJ,7,1,"3,5870871464157874",0,0,0,0,"3,5870871464157874",4,
2016,491,"FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DON DOMÊNICO",FECLE,Faculdade,"Privada sem fins lucrativos",SP,6,1,"2,881856518113195",0,0,0,0,"2,881856518113195",3,
2016,492,"FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ",FACEAG,Faculdade,"Privada sem fins lucrativos",SP,2,1,"2,1018633849699",0,0,0,0,"2,1018633849699",3,
2016,495,"FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA",FESB,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",SP,7,1,"2,044702305120368",0,0,0,0,"2,044702305120368",3,
2016,501,"ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA",EMESCAM,Faculdade,"Privada sem fins lucrativos",ES,4,"0,9519898891448975","3,1120005216005135","0,04801010712981224",4,0,0,"3,154633460096585",4,
2016,506,"FACULDADE DE MEDICINA DE CAMPOS",FMC,Faculdade,"Privada sem fins lucrativos",RJ,2,1,"2,3538425474193714",0,0,0,0,"2,3538425474193714",3,
2016,507,"FACULDADE TRIÂNGULO MINEIRO",FTM,Faculdade,"Privada sem fins lucrativos",MG,3,1,"2,0793491105842166",0,0,0,0,"2,0793491105842166",3,
2016,508,"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM",FACESM,Faculdade,"Privada sem fins lucrativos",MG,3,1,"1,8676215610991869",0,0,0,0,"1,8676215610991869",2,
